国名,2019名目GDP,2019実質GDP,2019一人当たりGDP,2019GDP成長率,2019一人当たりGDP成長率,2019消費者物価上昇率,2019総貯蓄,2019GDPデフレーター,2019純受取ODA,2019一人当たり純受取ODA,2020名目GDP,2020実質GDP,2020一人当たりGDP,2020GDP成長率,2020一人当たりGDP成長率,2020消費者物価上昇率,2020総貯蓄,2020GDPデフレーター,2020純受取ODA,2020一人当たり純受取ODA
United Kingdom,2.88E+12,3.19E+12,43070.49836,1.671944197,1.099995912,1.738104601,15.1938785,2.015103187,2.948393834,132.2980412,2.76E+12,2.90E+12,41098.07865,-9.270410835,-9.601340319,0.989486704,14.3297246,5.090975534,6.891135787,279.5969355
Georgia,17470436259,17757903230,4696.150586,4.982350475,5.162618817,4.852898217,19.75587901,5.192391453,1.390183813,29.94786853,15842922533,16557390869,4255.742993,-6.760439817,-6.824432632,5.20246489,11.32435591,7.28127821,3.114248269,70.93501797
Ghana,68337537816,62465709576,2246.625578,6.507774794,4.229181264,7.143640033,18.60781572,8.481072981,,,70043199814,62786746874,2254.153889,0.513941648,-1.605116474,9.887289563,28.37379876,9.365573701,,
Gibraltar,,,,,,,,,4.375592404,43.79447374,,,,,,,,,5.628696118,55.08881666
Guinea,13442861444,12075308020,1052.588091,5.616914469,2.664940943,9.470779373,7.918082882,9.402907663,10.64415367,80.86652024,14169626010,12635273566,1078.950006,4.637277536,1.756611403,10.60186,16.06989412,4.916467657,16.70693121,124.390476
"Gambia, The",1813608280,1677527608,772.5055883,6.22205316,3.16329441,7.115676256,17.9536158,6.252206399,7.674052999,58.72715873,1830413000,1674141973,757.4131116,-0.201822911,-3.04991461,5.931276366,14.12976078,4.038007113,10.11086683,74.817152
Guinea-Bissau,1439638443,1248729328,749.453747,4.499999992,1.964201464,0.246600268,11.55270522,-3.417863031,0.753308825,46.2764255,1431758243,1218759824,727.5201717,-2.399999999,-4.734913754,,13.56555917,0.10251975,0.079817243,4.240957536
Equatorial Guinea,11364134109,10051326743,8380.741122,-5.48182338,-8.759054635,1.238698602,,-3.16368975,,,10099157270,9625001914,7198.335884,-4.241478166,-7.449593578,4.769704981,,-8.83042673,,
Greece,2.05E+11,2.04E+11,19133.75776,1.803595256,1.910891048,0.253007522,10.28810039,0.248490586,1.342038031,131.0690908,1.89E+11,1.85E+11,17647.23269,-9.019129085,-8.840356712,-1.247983556,7.311520342,-0.837548131,6.956367438,617.7623525
Grenada,1213485185,1134931073,10834.49568,0.675702998,0.178625591,0.598149765,,3.327588753,,,1043411111,978815313.9,9273.199292,-13.7555278,-14.15180213,-0.740732597,,-0.301250802,,
Greenland,2994332324,2693633300,53256.24409,2.271310943,1.903879999,,,1.19601242,0.513423133,23.3816793,3075968329,2703236956,54570.37502,0.35653166,0.103713034,,,0.409144969,0.620365031,28.01937685
Guatemala,77020015201,70634110392,4638.634943,3.866856575,2.258711898,3.69998398,16.67184174,3.680606437,,,77604632621,69560945138,4603.339643,-1.519330035,-3.004905372,3.214440622,18.30729203,2.645190773,,
Guam,6364000000,5966796360,38040.58699,2.538991658,1.604283733,,,2.416163795,2.174900762,142.4547311,5844000000,5259729936,34624.34013,-11.85001769,-12.62715267,,,4.173632179,0.975942884,65.94546491
Guyana,5173760192,5071041645,6609.51128,5.352627426,4.845497408,2.087230892,,2.961396246,0.000273154,0.123296324,5471256595,7275908034,6955.939217,43.47955594,42.78930049,0.993337023,,-26.29604987,0.000827667,0.361655203
High income,5.53E+13,5.24E+13,44774.77502,1.779924663,1.368345087,1.570831757,23.53794424,1.80002116,,,5.37E+13,5.00E+13,43282.42346,-4.496496728,-4.947153798,0.537288023,22.81502821,1.225815764,,
"Hong Kong SAR, China",3.63E+11,3.32E+11,48356.0635,-1.678266622,-2.402462716,2.883208538,24.03687471,2.044593605,1.95720677,46.39387116,3.45E+11,3.10E+11,46100.97587,-6.496562376,-6.160344962,0.250962021,25.93311495,0.574731224,6.46188943,144.6427769
Honduras,25089976947,24360344498,2574.356751,2.653066255,0.98266168,4.365871598,20.11118108,4.126697133,5.651069756,54.73240745,23827840810,22176498034,2405.732848,-8.964760184,-10.42150115,3.46841178,21.55769281,4.634186675,,
Heavily indebted poor countries (HIPC),7.98E+11,8.22E+11,994.8982809,4.140263215,1.350890074,2.685373553,23.17326294,3.000011819,,,8.03E+11,8.24E+11,975.4742618,0.205715669,-2.443626932,3.46841178,24.00350881,3.521883435,,
Croatia,62246206341,57190160217,15311.7669,3.481945603,4.056979224,0.771820346,25.76901526,1.919309384,4.690574683,61.78328281,57203783203,52557893779,14132.48656,-8.099761252,-7.700776427,0.154811375,23.86869147,-0.129291632,6.100714315,77.7765761
Haiti,14785839383,15474153940,1312.770636,-1.684595081,-2.90574712,18.70378257,16.63575298,17.55061276,,,14508218017,14956795315,1272.367992,-3.343372612,-4.525491823,22.79631136,19.08111937,20.5805876,,
Hungary,1.64E+11,1.47E+11,16735.65978,4.554063072,4.601390464,3.338586354,27.63335048,4.765536616,0.084074397,5.364728134,1.57E+11,1.40E+11,16075.97327,-4.46322087,-4.257530879,3.326743858,26.10659496,6.314024973,,
IBRD only,3.12E+13,3.10E+13,6473.782551,3.997212439,3.158646951,2.598016203,31.89907516,2.525618656,0.333068561,16.96849523,3.00E+13,3.06E+13,6176.40377,-1.450654352,-2.184071648,2.472021215,31.70452772,2.113231301,,
IDA & IBRD total,3.36E+13,3.34E+13,5168.837517,4.00123926,2.783904746,2.610571828,31.3327142,2.961396246,3.662247476,50.48919911,3.24E+13,3.30E+13,4925.381242,-1.362644896,-2.474968855,2.940295143,31.31436508,2.645190773,,
IDA total,2.34E+12,2.38E+12,1399.11567,4.053164369,1.740590094,2.68068279,23.3469001,3.49282158,1.377865556,24.87732955,2.33E+12,2.38E+12,1365.047843,-0.221758876,-2.435848541,3.46841178,25.5896322,3.21740233,,
IDA blend,1.04E+12,1.12E+12,1852.219116,2.741331517,0.464640683,1.989587441,19.61145342,3.327588753,-0.061533789,-2.46720962,9.99E+11,1.11E+12,1740.603808,-1.397125525,-3.558782298,1.795371471,23.63905214,0.549999976,0.119648455,4.507362072
Indonesia,1.12E+12,1.05E+12,4135.233344,5.01928768,3.87255979,3.03058665,30.90271351,1.5984885,5.458612844,63.45704637,1.06E+12,1.03E+12,3870.55762,-2.065004941,-3.102651719,1.920968006,29.38719241,-0.436578123,,
IDA only,1.30E+12,1.26E+12,1169.69953,5.252192169,2.909479777,2.744170618,27.55857307,3.658054407,,,1.33E+12,1.27E+12,1175.586605,0.841579885,-1.409744969,3.738118083,27.99558347,3.338349379,,
Isle of Man,7315388052,8129451490,86481.55259,0.25486132,-0.356701749,,,1.80002116,0.09094596,1.866493538,,,,,,,,,0.06817533,1.300148014
India,2.83E+12,2.69E+12,2072.244897,3.73791852,2.692089827,3.729505735,29.6977505,2.390748792,,,2.67E+12,2.51E+12,1933.101069,-6.596080522,-7.515674992,6.623436776,28.53850805,5.600919236,,
Not classified,,,,,,,,,,,,,,,,,,,,
Ireland,3.99E+11,3.71E+11,80886.61574,4.917006978,3.491900991,0.939044481,35.39030271,4.2247889,0.070029892,2.462554649,4.26E+11,3.93E+11,85422.54287,5.866975509,4.776937267,-0.334584625,37.38271492,-1.212120401,0.101756502,2.799044416
"Iran, Islamic Rep.",2.91E+11,4.40E+11,3514.042168,-1.340197665,-2.665383742,39.90734557,,29.7905485,0.89944546,53.19132955,2.32E+11,4.48E+11,2756.749977,1.761797091,0.454460215,30.59413904,,40.56479334,1.295013727,58.65248869
Iraq,2.34E+11,2.02E+11,5943.458455,5.513790575,3.161969237,-0.19896538,37.35014758,-2.674440036,,,1.84E+11,1.79E+11,4583.747494,-11.32419926,-13.33639738,0.574162679,20.59046982,-10.25639849,,
Iceland,24857740445,20847341425,68941.46223,2.434823,0.206935275,3.013971792,24.0326862,4.589430895,,,21718075725,19491448632,59264.03409,-6.50391225,-8.00918541,2.847924015,17.12370561,3.214351922,,
Israel,3.98E+11,3.53E+11,43951.24773,3.77358981,1.811358909,0.844128709,24.92024928,1.884951067,,,4.07E+11,3.45E+11,44177.57122,-2.153428489,-3.863999473,-0.5884303,27.57502153,0.972869138,,
